project_id,sheet_row,column,before,after
P3934,1952,RouteAccuracy,no route,high
P3937,1955,RouteAccuracy,no route,medium
P3938,1956,RouteAccuracy,no route,medium
P6035,3495,RouteAccuracy,no route,very low (straight line/schematic)
P6685,3644,RouteAccuracy,no route,very low (straight line/schematic)
P6686,3645,RouteAccuracy,no route,very low (straight line/schematic)
P6687,3646,RouteAccuracy,no route,high
P6688,3647,RouteAccuracy,no route,high
P6689,3648,RouteAccuracy,no route,high
P6692,3651,RouteAccuracy,no route,high
P6693,3652,RouteAccuracy,no route,high
P6697,3656,RouteAccuracy,no route,high
P6698,3657,RouteAccuracy,no route,high
P6699,3658,RouteAccuracy,no route,high
P6700,3659,RouteAccuracy,no route,high
P6701,3660,RouteAccuracy,no route,high
P6702,3661,RouteAccuracy,no route,high
P7447,3849,RouteAccuracy,no route,high
P7567,3967,RouteAccuracy,no route,very low (straight line/schematic)
P7572,3972,RouteAccuracy,no route,very low (straight line/schematic)
P7574,3974,RouteAccuracy,no route,very low (straight line/schematic)
P7577,3977,RouteAccuracy,no route,very low (straight line/schematic)
P7578,3978,RouteAccuracy,no route,very low (straight line/schematic)
P7580,3980,RouteAccuracy,no route,very low (straight line/schematic)
P7597,3996,RouteAccuracy,no route,very low (straight line/schematic)
P8002,4275,RouteAccuracy,no route,very low (straight line/schematic)
P8004,4277,RouteAccuracy,no route,very low (straight line/schematic)
P8010,4283,RouteAccuracy,no route,very low (straight line/schematic)
P8011,4284,RouteAccuracy,no route,very low (straight line/schematic)
P8012,4285,RouteAccuracy,no route,very low (straight line/schematic)
P8015,4288,RouteAccuracy,no route,very low (straight line/schematic)
P8016,4289,RouteAccuracy,no route,high
P8017,4290,RouteAccuracy,no route,medium
P8018,4291,RouteAccuracy,no route,high
P8019,4292,RouteAccuracy,no route,very low (straight line/schematic)
P8024,4297,RouteAccuracy,no route,very low (straight line/schematic)
P8025,4298,RouteAccuracy,no route,very low (straight line/schematic)
