country,indev_total,proposed,construction,shelved,mothballed,idle,operating,total_rows,priority,indev_status,discovery_status,packet_file,applied,notes
China,332,181,115,36,0,0,610,984,,,,,,
United States,134,97,26,11,0,2,326,529,,,,,,
Russia,80,61,16,3,5,1,182,284,,,,,,
Brazil,31,27,0,4,0,0,36,71,,,,,,
India,27,5,20,2,0,0,35,75,,,,,,
Saudi Arabia,22,1,21,0,0,0,40,65,3,delivered,delivered,"20260707_0918_ET (discovery) + 20260708_1310_ET (annual-indev) + 20260708_1322_ET (operating deepsweep, extra)",,"all 3 legs (like Iran). in-dev: 22/22 status-verdicts confirm (0% — no gate); ref pass 82 gap cells -> 79 corroborated. ESCALATION (operating sweep, 40 rows): systematic existence cluster — the 2022-07-19 GIS/km-post row family (P1897-P1925 UBTG/AY-1/KP names) has no independent per-line attestation (18 existence + 15 duplicate concerns); de-dup families UBTG-1 trunk (P1898/99/1900/01/10/11/12), Haradh Khuff-Hawiyah triple (P1917/18/19), Berri-Abu Ali pair (P1922/23), P1897/P1903 vs P3962 East-West (P3962 specs are the crude Petroline's); P7545 subsea is a P7544 sub-component; P7768 double-counts P1921. Refs: 198 added / 53 reverified / 45 unresolved (mostly the GIS-only rows)"
Greece,22,20,2,0,0,0,12,38,,,,,,
Australia,20,16,1,3,1,3,94,151,,,,,,
Germany,18,11,6,1,2,1,82,106,,,,,,
Colombia,18,17,1,0,1,0,18,40,,,,,,
Italy,17,12,3,2,0,0,135,158,,,,,,
Iraq,16,6,8,2,0,0,36,54,1,delivered,delivered,20260705_1339_ET (annual-indev + discovery),,"pilot; ESCALATION: 6/16 status-verdicts propose edits (37.5% >30% gate); 10 discovery clusters (>5 gate) -> 5 new_row, 5 monitor; ref sweep on 66 gap cells -> 52 corroborated, 14 remain uncorroborated (mostly value disagreements: Proposal 2021 vs 2022, Owner=GGIP consortium vs Ministry, P6007 existence concern)"
Israel,16,13,3,0,0,0,6,22,,,,,,
Mexico,14,6,4,4,0,1,41,62,,,,,,
Slovenia,14,11,1,2,0,0,6,22,,,,,,
Bulgaria,13,9,3,1,0,0,30,45,,,,,,
Canada,12,6,4,2,0,0,51,75,,,,,,
Bangladesh,12,5,3,4,0,0,47,62,,,,,,
North Macedonia,12,11,1,0,0,0,4,17,,,,,,
South Africa,12,11,0,1,0,0,2,14,,,,,,
Kazakhstan,11,8,3,0,1,0,38,51,,,,,,
Indonesia,11,9,1,1,0,0,36,50,,,,,,
Croatia,11,8,2,1,1,0,16,31,,,,,,
Cyprus,11,11,0,0,0,0,0,13,,,,,,
Argentina,10,8,0,2,0,0,42,52,,,,,,
Poland,9,8,1,0,0,1,42,54,,,,,,
Türkiye,8,5,2,1,1,0,33,48,,,,,,
Iran,8,2,6,0,0,0,31,42,2,delivered,delivered,"20260705_2340_ET (annual-indev) + 20260705_2334_ET (discovery) + 20260705_2353_ET (operating deepsweep, extra)",,deep country (like Iraq): ran all 3 legs incl. extra operating sweep. ESCALATION: (A) in-dev 5/8 status-verdicts propose edits (4 change + 1 stale = 62.5% >30% gate); (B) 10 discovery clusters (>5 gate) -> 9 new_row + 1 matched-existing; (C) operating sweep 31 rows -> systematic class-wide Owner=NIOC should be NIGC/IGTC across ~27 rows; duplicate/segmentation cluster (P0748<->P3957 IGAT-1 double-count; P6022/P6023/P6024 one Iran-Ertebat project split 3 ways; P6027); existence cluster P6024/P6025/P6027 all trace to one dead iranertebat EPC page; P3951 Siri-Mobarak status 'operating' is wrong (never commercially delivered)
Nigeria,8,5,2,1,0,0,27,36,,,,,,
Serbia,8,5,2,1,0,0,12,24,,,,,,
Vietnam,8,5,0,3,0,0,6,15,,,,,,
Egypt,7,4,3,0,0,0,50,57,4,delivered,delivered,"20260709_0724_ET (annual-indev) + 20260713_1319_ET (operating deepsweep) + 20260715_1552_ET (discovery)",,"in-dev: 1/7 status changes (P3657 proposed->shelved, ~14% <30% gate). operating sweep (50 rows, Sonnet fan-out): NO escalation gate — no class-wide existence gap (contrast Saudi/Iran). 109 validity records (53 confirmed-caveat/56 concern): attribution 37 (recurring GASCO-operator vs EGAS-owner nuance, row-specific not class-wide; P0462 FuelSource Egypt->Israel), spec 31, existence 4 (P3938 CO2-EOR concept not built gas; P0476/P6693/P6687 reref), duplicate 4 (P0477 network vs P6697-P6702 segments; P6687/P0474/P3934 one Obaiyed trunk; P7574 vs P3930). refs 240 added/182 reverified/17 unresolved; 142 fills; 50 route suggestions. discovery (Leg B): 7 candidates vetted -> 4 new rows (Shukeir-Hurghada HIGH, El Sadat-Dahshour, Nitzana Egyptian side, Ain Sokhna FSRU connector) + 3 monitor (Taba-Sharm downgraded on re-vet); 7 clusters > 5 gate, surfaced at delivery"
Georgia,7,3,0,4,0,0,15,24,,,,,,
Pakistan,6,2,3,1,0,0,63,70,,,,,,
United Arab Emirates,6,1,5,0,0,0,32,39,,,,,,
Libya,6,1,5,0,0,0,30,38,,,,,,
Tunisia,6,1,5,0,0,0,14,21,,,,,,
Taiwan,6,5,0,1,0,0,5,11,,,,,,
Algeria,5,0,3,2,0,0,121,126,,,,,,
Romania,5,4,1,0,0,0,22,32,,,,,,
Turkmenistan,5,3,1,1,0,0,18,24,,,,,,
Albania,5,4,0,1,0,0,1,7,,,,,,
Bosnia and Herzegovina,5,4,1,0,1,0,1,7,,,,,,
Morocco,5,5,0,0,0,0,1,6,,,,,,
France,4,3,0,1,0,0,17,24,,,,,,
Ghana,4,3,0,1,0,0,6,10,,,,,,
Peru,4,3,0,1,0,0,3,7,,,,,,
Spain,3,2,0,1,0,0,58,65,,,,,,
Austria,3,2,0,1,0,0,15,23,,,,,,
Bolivia,3,1,0,2,0,0,18,21,,,,,,
Hungary,3,3,0,0,0,0,13,21,,,,,,
Trinidad and Tobago,3,3,0,0,0,0,13,18,,,,,,
Czech Republic,3,2,0,1,0,0,12,15,,,,,,
Azerbaijan,3,2,0,1,0,0,9,13,,,,,,
Lithuania,3,2,1,0,0,0,8,11,,,,,,
Belgium,3,2,1,0,0,0,6,9,,,,,,
Myanmar,3,1,0,2,0,0,6,9,,,,,,
Mozambique,3,2,0,1,0,0,2,5,,,,,,
Paraguay,3,2,0,1,0,0,0,3,,,,,,
Qatar,2,2,0,0,0,0,56,59,,,,,,
Ukraine,2,1,1,0,2,0,39,47,,,,,,
Norway,2,1,0,1,0,0,31,35,,,,,,
Uzbekistan,2,0,1,1,0,0,28,31,,,,,,
Ireland,2,2,0,0,0,0,27,29,,,,,,
Oman,2,1,1,0,0,0,20,23,,,,,,
Venezuela,2,2,0,0,1,0,7,10,,,,,,
Latvia,2,0,1,1,0,0,6,8,,,,,,
Kyrgyzstan,2,1,0,1,0,0,2,4,,,,,,
Tanzania,2,1,0,1,0,0,2,4,,,,,,
Côte d'Ivoire,2,2,0,0,0,0,1,3,,,,,,
Afghanistan,2,0,2,0,0,0,0,2,,,,,,
Niger,2,1,0,1,0,0,0,2,,,,,,
Japan,1,1,0,0,0,0,113,119,,,,,,
United Kingdom,1,1,0,0,0,0,37,42,,,,,,
Netherlands,1,1,0,0,0,0,38,39,,,,,,
Thailand,1,0,0,1,0,0,33,34,,,,,,
Slovakia,1,1,0,0,0,0,12,15,,,,,,
Estonia,1,0,1,0,0,0,11,12,,,,,,
Kuwait,1,1,0,0,0,0,9,11,,,,,,
Chile,1,1,0,0,0,0,6,8,,,,,,
Papua New Guinea,1,1,0,0,0,0,2,5,,,,,,
Kosovo,1,0,0,1,0,0,0,4,,,,,,
Uruguay,1,1,0,0,0,0,2,3,,,,,,
Benin,1,1,0,0,0,0,1,2,,,,,,
Equatorial Guinea,1,1,0,0,0,0,1,2,,,,,,
Montenegro,1,1,0,0,0,0,0,2,,,,,,
Tajikistan,1,0,0,1,0,0,1,2,,,,,,
Togo,1,1,0,0,0,0,1,2,,,,,,
Cambodia,1,0,0,1,0,0,0,1,,,,,,
El Salvador,1,0,0,1,0,0,0,1,,,,,,
Guatemala,1,0,0,1,0,0,0,1,,,,,,
Guinea,1,1,0,0,0,0,0,1,,,,,,
Guinea-Bissau,1,1,0,0,0,0,0,1,,,,,,
Guyana,1,0,1,0,0,0,0,1,,,,,,
Honduras,1,0,0,1,0,0,0,1,,,,,,
Kenya,1,1,0,0,0,0,0,1,,,,,,
Liberia,1,1,0,0,0,0,0,1,,,,,,
Malta,1,1,0,0,0,0,0,1,,,,,,
Mauritania,1,1,0,0,0,0,0,1,,,,,,
Mongolia,1,1,0,0,0,0,0,1,,,,,,
Namibia,1,1,0,0,0,0,0,1,,,,,,
Nepal,1,1,0,0,0,0,0,1,,,,,,
North Korea,1,0,0,1,0,0,0,1,,,,,,
Senegal,1,1,0,0,0,0,0,1,,,,,,
Sierra Leone,1,1,0,0,0,0,0,1,,,,,,
South Korea,1,0,0,1,0,0,0,1,,,,,,
Suriname,1,1,0,0,0,0,0,1,,,,,,
The Gambia,1,1,0,0,0,0,0,1,,,,,,
Uganda,1,0,0,1,0,0,0,1,,,,,,
Belarus,0,0,0,0,0,1,18,20,,,,,,
Philippines,0,0,0,0,0,0,4,13,,,,,,
Switzerland,0,0,0,0,0,0,12,13,,,,,,
Portugal,0,0,0,0,0,0,7,9,,,,,,
Denmark,0,0,0,0,1,0,5,8,,,,,,
Finland,0,0,0,0,1,0,7,8,,,,,,
Moldova,0,0,0,0,0,0,8,8,,,,,,
Sweden,0,0,0,0,1,0,5,8,,,,,,
Armenia,0,0,0,0,0,0,7,7,,,,,,
Jordan,0,0,0,0,0,0,6,7,,,,,,
Syria,0,0,0,0,1,0,2,7,,,,,,
Luxembourg,0,0,0,0,0,0,5,5,,,,,,
Malaysia,0,0,0,0,0,0,4,5,,,,,,
New Zealand,0,0,0,0,0,0,3,3,,,,,,
Singapore,0,0,0,0,0,0,3,3,,,,,,
Joint Petroleum Development Area,0,0,0,0,0,0,0,2,,,,,,
Lebanon,0,0,0,0,1,0,0,2,,,,,,
Timor-Leste,0,0,0,0,0,0,0,2,,,,,,
Yemen,0,0,0,0,0,1,0,2,,,,,,
Angola,0,0,0,0,0,0,1,1,,,,,,
Barbados,0,0,0,0,0,0,0,1,,,,,,
Brunei,0,0,0,0,0,0,1,1,,,,,,
Djibouti,0,0,0,0,0,0,0,1,,,,,,
Dominican Republic,0,0,0,0,0,0,1,1,,,,,,
Ecuador,0,0,0,0,0,0,1,1,,,,,,
Ethiopia,0,0,0,0,0,0,0,1,,,,,,
Grenada,0,0,0,0,0,0,0,1,,,,,,
Guadeloupe,0,0,0,0,0,0,0,1,,,,,,
Hong Kong,0,0,0,0,0,0,1,1,,,,,,
Kazkahstan,0,0,0,0,0,0,1,1,,,,,,
Martinique,0,0,0,0,0,0,0,1,,,,,,
Puerto Rico,0,0,0,0,0,0,0,1,,,,,,
