project_id,sheet_row,column,before,after
P8013,4286,RouteAccuracy,no route,very low (straight line/schematic)
P8013,4286,RouteNotes,,"CB: route guessed from endpoints — RESOLVED. Second pass identified 'Petreco Plant' as the Petreco Oil Centre, a Petrobel (Belayim Petroleum Co., the EGPC-Eni/IEOC joint operating company) oil-treatment and marine-terminal complex at Abu Rudeis, South Sinai Governorate -- the Sinai/east shore of the Gulf of Suez, opposite Ras Gharib. This also explains the pipeline's name: 'Trans Gulf Gas Pipeline' runs from Petrobel's Petreco Oil Centre on the Sinai side, across the Gulf of Suez, to Ras Bakr Transmission Station on the mainland/Red Sea Governorate side. Two independent sources: (1) Eni's 2016 corporate operations report for Egypt (Eni is Petrobel's foreign JV partner via IEOC) -- 'The Petreco Oil Center has a 260,000 barrels/day treatment capacity, and gathers some 85,000 barrels/day of oil from onshore and offshore fields -- Belayim Marine, Belayim Land, Abu Rudeis, Sinai and Ras Garra -- all operated by Petrobel'; (2) Egypt Oil & Gas news (2012) -- 'the main Petreco Oil Centre and marine terminal, [at Abu Rudeis]'. A third source (Egypt Oil & Gas, 'DCS System for Petreco Plant') corroborates it as a real, standing plant with its own control room, ruling out a one-off/typo name. Straight-line distance from the Abu Rudeis coordinate to the Ras Bakr endpoint is ~57-58 km -- clearly a distinct location, and consistent with the sheet's 75 km pipeline length once a Gulf-of-Suez water-crossing plus onshore routing overhead on both shores is factored in. Remaining minor uncertainty: the Eni text separately mentions Petreco (inland treatment) as 'connected to the Feiran tank farm and marine terminal' -- it's possible the actual gas offtake/loading point is the adjacent Feiran marine terminal rather than the inland Petreco treatment plant itself, but no source separately geocodes 'Feiran'; and no gazetteer/map names 'Petreco' directly, so the coordinate is a settlement-level proxy, not a surveyed plant footprint -- recommend RouteAccuracy stay moderate (not 'very high (within meters)') for this endpoint. abarrelfull.co.uk surfaced discussing this same facility in background search context and was excluded per standing rule, not used as a source. SHEET CONFLICT: Sheet StartLocation 'Petreco Plant' is confirmed as an accurate, verbatim name (not a misspelling) -- it appears exactly as 'Petreco Plant' in the Egypt Oil & Gas table, and is corroborated as a standing facility name ('Petreco control room', 'Petreco Oil Centre') by two further independent sources found this pass. EndLocation is currently blank on the sheet and should be 'Ras Bakr Transmission Station'. Suggest EndLocation -> 'Ras Bakr Transmission Station'. Start coord basis: GeoNames gazetteer point-feature entry for 'Ra's Abu Rudays' (N28 53'47"" E33 10'27""), South Sinai -- the named settlement/oilfield-area the Petreco Oil Centre sits within, per two independent sources below; no gazetteer or map lists 'Petreco' by name (OSM/Overpass has no node/way tagged 'Petreco'), so this is a defensible settlement-level proxy for the plant, not a surveyed facility footprint. Chosen for methodological parity with the Ras Bakr endpoint, which likewise uses a GeoNames point entry rather than a facility-specific pin. Cross-check cluster within ~2 km of this point and converging on the same area: GeoNames 'Abu Rudays' populated place (28.8994, 33.1858), OSM Nominatim 'Abu Rudeis Spring' (28.8800, 33.1778), OSM Nominatim 'Abu Rudeis Airport' (28.8984, 33.2033).. End coord basis: GeoNames gazetteer entry 'Ra's Bakr' (point feature, N28 23'31"" E33 3'42""), Red Sea Governorate, Egypt -- the nearest named public gazetteer entry to the transmission station named in the trade-press source below; GeoNames also separately lists a 'Ra's Bakr' oilfield ~14 km further NW (N28 29'0"" E32 57'0""), confirming this as a real, long-standing place name in the Ras Gharib oil/gas cluster, not a typo."
P8013,4286,RouteCreator,,CB
P8013,4286,Route [ref],,https://egyptoil-gas.com/reports/gulf-of-suez-eastern-desert-and-sinai-egypts-crude-oil-squad/; https://egyptoil-gas.com/news/beach-energy-announces-first-oil-production-from-its-north-shadwan-concession/; https://egyptoil-gas.com/features/dcs-system-for-petreco-plant/; https://www.geonames.org/search.html?q=Abu+Rudeis&country=EG; https://www.eni.com/assets/documents/eni_egitto_2016.pdf; https://www.geonames.org/search.html?q=Ras+Bakr&country=EG
P8014,4287,RouteAccuracy,no route,very low (straight line/schematic)
P8014,4287,RouteNotes,,"CB: route guessed from endpoints — RESOLVED by main-session adjudication (2026-07-30) after the research agent marked it unresolved: the World Bank Implementation Completion Report 'Fourth and Kureimat Power Projects' (Loans 3103/3441-EGT) — the same document that resolved P8021 — names this exact pipeline twice: 'the diameter of the 160-km pipeline from Zafarana to Kureimat was changed from 20 inches to 18 inches' (detailed-design change, para on cost estimates) and 'EGPC has already completed the installation of the Zafarana-Kureimat pipeline in November 1995' alongside 'the foreign exchange funding for the 162km pipeline from Zafarana to Kureimat' (para 3.8). The 162 km as-built length matches the sheet's 163 km almost exactly. Verified by downloading the PDF and extracting text with pdftotext (the 3.9MB scanned PDF is a documented url_verifier large-PDF substring false-negative: HTTP 200, content check unreadable by the extractor). This withdraws the research agent's misattribution concern: the Sadat City→Dahshur 75km/42in GASCO line (Youm7 2013) is a SECOND, later Kureimat supply line, not a competing identity — Kureimat demonstrably has both. Sheet-facing intel for a future values pass (not this route batch): StartYear1 is blank on the sheet, WB gives completion November 1995; as-designed diameter 18in (changed from 20in). Kureimat endpoint coordinate consistent with P8021's anchor (ueepc.com); Zaafarana coordinate is the locality geocode — the exact compressor/tie-in site within Zaafarana is not separately published, so RouteAccuracy stays at the endpoints-method cap. Start coord basis: OSM/Nominatim geocode of Zaafarana locality (reused from prior pass); named as the pipeline's origin by the World Bank ICR below. End coord basis: OSM/Nominatim geocode of Kureimat village (reused from prior pass), same anchor used for P8021."
P8014,4287,RouteCreator,,CB
P8014,4287,Route [ref],,https://documents1.worldbank.org/curated/en/610401468233337058/pdf/multi-page.pdf; https://ueepc.com/index-16.htm?page=st_kurimat1
P8021,4294,RouteAccuracy,no route,very low (straight line/schematic)
P8021,4294,RouteNotes,,"CB: route guessed from endpoints — RESOLVED this pass: found the missing corroboration that this is a GAS pipeline (not the same-named electricity line the prior pass correctly flagged as a different asset). World Bank Implementation Completion Report 'Fourth and Kureimat Power Projects' (Loans 3103 and 3441-EGT, downloaded and read via pdftotext since the page-fetch tool can't parse this 3.8MB scanned PDF -- the url_verifier substring check FAILs on it for the documented large-PDF false-negative reason, confirmed manually) states explicitly: 'the Bank funded the foreign costs for 95 km of the 22-inch diameter El Tebbin (Dahsour) to Kureimat natural gas pipeline, which was to be funded by EGPC' (Table 6 / para 4.4), and separately: 'EGPC has already completed the installation of the Zafarana-Kureimat pipeline in November 1995 and the El Tebbin-Kureimat pipeline is scheduled for completion in September 1996' (para 3.8). This is an independent, authoritative, non-GEM source naming exactly this pipeline (El Tebbin<->Kureimat, natural gas, connecting to the gas grid/Kureimat power station), distinct from the 2016 electricity-line story the prior pass found. Both endpoint facility coordinates are unchanged from the prior pass (already well-sourced via the EEHC-subsidiary pages) and are now paired with a route-level source confirming the gas-pipeline claim itself. Sheet length (not given in this retry payload, prior pass cited ~87km) is close to the WB document's 95km (plausible drift given re-routing/rounding over ~30 years); flagging as a minor, non-blocking discrepancy rather than a conflict. Suggest StartLocation -> 'El Kureimat Power Station'. Start coord basis: OSM/Nominatim geocode of 'قرية الكريمات' (Kureimat village), Giza Governorate -- nearest named place to the power complex; the plant's own gate coordinate is not published. (unchanged from prior pass). End coord basis: OSM/Nominatim geocode of 'محطة كهرباء التبين' (Tebbin power station), an industrial-landuse polygon in Helwan, Cairo Governorate. (unchanged from prior pass)."
