project_id,sheet_row,column,before,after
P3934,1952,RouteNotes,,"CB: route from gulfpub — Tarek->Ameriya portion of the GulfPub 'Western Desert Gas Project - North Line' trace (Obaiyed field -> Ameriya Refinery, 322.5 km), split at the trunk vertex nearest the Tarek Spur trace (gulfpub:gas:462) junction endpoint. 227.1 km vs sheet 231 km (ratio 0.98). See prep_gulfpub_geoms.py."
P3934,1952,RouteCreator,,CB
P3934,1952,Route [ref],,
P3937,1955,RouteNotes,,"CB: route from gulfpub — GulfPub 'Badr el Din 2 - Badr el Din' trace (26.8 km) matches the BED-2->BED-3 corridor the research corroborated. BAPETCO's BED concession (Abu Gharadig basin, ~300 km west of Cairo per nsenergybusiness.com) contains numbered sub-fields BED-1/BED-2/BED-3, developed together as one cluster. Farmout Angel's coordinates for BED-2 and BED-3 are mutually consistent (~25 km apart) and closely match GulfPub's cited 26.8 km 'Badr el Din 2 - Badr el Din' trace -- the strongest evidence found for what this 'Spur (1)' pipeline actually connects. Deliberately did NOT use the payload's facility_anchor coordinate for 'Bed-2 Oil and Gas Field (Matrouh, Egypt)' (lon=26.66, lat=30.26): it sits ~190 km WNW of the BED-1/BED-3 cluster, geographically implausible for a field developed as part of the same concession as BED-3 -- flagging this as a likely mismapped coordinate in the internal GOGET dataset, not a basis for a route. Single-source coordinates (Farmout Angel) for both endpoints; a second independent geocoding source would strengthen this further, but the distance/order-of-magnitude match to GulfPub's trace gives reasonable confidence. No dedicated Arabic-language article found describing this specific spur by name. SHEET CONFLICT: Sheet gives 130.0 km for this spur; independent coordinates for BED-2 and BED-3 put a two-point great-circle distance at ~25 km, which sits inside the disputed-range window the prior researcher flagged (GulfPub reports comparable BED lines at 19-63 km, with a specific 'Badr el Din 2 - Badr el Din Pipeline' trace of 26.8 km matching this corridor closely). The sheet's 130 km figure looks materially overstated for this corridor. Suggest StartLocation -> 'Badr El Din 2 (BED-2) Field'. Suggest EndLocation -> 'Badr El Din 3 (BED-3) gas processing facility'."
P3937,1955,RouteCreator,,CB
P3937,1955,Route [ref],https://www.wepco-eg.com/ar/%D8%A7%D9%84%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA/%D8%AD%D9%82%D9%84-%D8%A8%D8%AF%D8%B1/,https://www.wepco-eg.com/ar/%D8%A7%D9%84%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA/%D8%AD%D9%82%D9%84-%D8%A8%D8%AF%D8%B1/; https://www.farmoutangel.com/assets/egypt-badr-el-din-02-dev/; https://www.farmoutangel.com/assets/egypt-badr-el-din-03-dev/; https://www.nsenergybusiness.com/projects/badr-oil-field-egypt/
P3938,1956,RouteNotes,,"CB: route from gulfpub — GulfPub 'Badr el Din Field - Alam El Shawish' trace (70 km) matches the BED-3->Alam El Shawish corridor the research corroborated. Two-point candidate uses BED-3 (documented tie-in hub) and the Alam El Shawish West concession centroid; straight-line distance is only ~16 km, well under both GulfPub's 70 km trace and the ~47 km summed pipeline-segment figure from Egypt Oil & Gas -- expected, since concession-block centroids don't reflect actual routing across a ~1,075 km2 block to specific well clusters (Assil/Karam sit within, not necessarily at, the block centroid). A separate Egypt Oil & Gas piece ('Field Development back on track') independently confirms Alam El Shawish and Badr El-Din are linked by transport infrastructure (for crude oil rather than this gas spur), corroborating the two fields as pipeline-connected neighbors. On the P3937/P3938 duplicate question: found evidence these are TWO DISTINCT real corridors radiating from the BED-3 hub in different directions (P3937 west/short to BED-2, P3938 west-southwest to Alam El Shawish/Assil-Karam) -- not duplicates of each other -- but the sheet's shared, unverified 130 km length for both looks like a data error that should be corrected downward for both rows rather than treated as ground truth. Confidence: moderate -- endpoint identification and general corridor direction are reasonably corroborated by 2+ independent sources (Farmout Angel coordinates + Egypt Oil & Gas pipeline description), but exact routing/length remains uncertain. SHEET CONFLICT: Sheet gives 130.0 km, identical to P3937's figure for a completely different corridor -- the two rows sharing the exact same length looks like a duplication/copy error rather than two independently measured pipelines. Egypt Oil & Gas ('Assil and Karam fields on the development track') documents real gathering pipelines from the Alam El Shawish West concession's Assil/Karam gas development tying into BED-3: a 24 km 12-in line, a 12 km 12-in line, and an 11.3 km 8-in line (~47 km summed across segments) -- same order of magnitude as GulfPub's cited 70 km 'Badr el Din Field - Alam El Shawish' trace, and far short of the sheet's 130 km. Likely origin of the '130' figure: an unrelated Oil & Gas Journal CO2-EOR study describes gathering CO2-rich gas from four DIFFERENT Western Desert plants (Obaiyed, El Salam, Tarek, El Qasr) to a central point in El Salam, then piping it 130 MILES (not km) to Abu Sennan field for storage -- a different corridor entirely (El Salam-to-Abu Sennan, not BED-to-Alam El Shawish) and a proposed/study concept, not confirmed built infrastructure. Plausible the sheet's '130' for both BED spurs is a garbled echo of this unrelated 130-mile CO2 study number rather than a real measurement of either spur. Suggest StartLocation -> 'Badr El Din 3 (BED-3) gas processing facility'. Suggest EndLocation -> 'Alam El Shawish West field/concession'."
P3938,1956,RouteCreator,,CB
P3938,1956,Route [ref],https://www.wepco-eg.com/ar/%D8%A7%D9%84%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA/%D8%AD%D9%82%D9%84-%D8%A8%D8%AF%D8%B1/,https://www.wepco-eg.com/ar/%D8%A7%D9%84%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA/%D8%AD%D9%82%D9%84-%D8%A8%D8%AF%D8%B1/; https://egyptoil-gas.com/features/assil-and-karam-fields-on-the-development-track/; https://www.farmoutangel.com/assets/egypt-alam-el-shawish-west-dev-2-3/; https://www.farmoutangel.com/assets/egypt-badr-el-din-03-dev/; https://egyptoil-gas.com/features/field-development-back-on-track/; https://www.ogj.com/drilling-production/production-operations/ior-eor/article/17240587/co2-use-could-boost-egypts-western-desert-oil-recovery
P6035,3495,RouteNotes,,"CB: route guessed from endpoints — END point (West Damietta power plant) is HIGH confidence: identity and coordinates corroborated by two independent, non-GEM public sources. START point (Gamasa) is MEDIUM confidence on the general named locality (a real, well-attested coastal town in the right governorate — a plausible pipeline name) but LOW confidence that the town-center coordinate is the actual take-off node, given the length inconsistency documented in sheet_conflicts above. Recommend RouteAccuracy no higher than 'low' (great-circle between an approximate start and a firm end) until a human can access GASCO's own station list or an Arabic-language industry source to pin down the actual start node. SHEET CONFLICT: 'Veunsa' in the pipeline name 'Gamasa-Veunsa' is resolved as a corrupted rendering pointing to the WEST DAMIETTA POWER PLANT — NOT 'Fenosa'/SEGAS (that hypothesis, raised in the research prompt, is REJECTED). The prior_suggestions coordinate for this endpoint (31.442, 31.606) matches the independently-sourced West Damietta CCGT plant coordinate (31.4423, 31.6064) to within ~150 m, while the true SEGAS/Union Fenosa Gas plant (P6033's endpoint) sits at 31.4677N/31.7691E, ~13 km away — a materially different location; do not conflate the two lines. UNRESOLVED LENGTH CONFLICT: Gamasa town (GeoNames, 31.4411N/31.5367E) is only ~6.6 km in a straight line from the West Damietta plant, not the ~34 km the sheet length and the prior_suggestion's start coordinate (31.145, 31.513 — ~34 km from the plant) imply. No public source was found for a specific station at 31.145N/31.513E; that figure looks back-fitted to the sheet length rather than independently sourced. Two live possibilities for a human to adjudicate: (a) the true take-off point is a specific GASCO station inland/south of Gamasa town (per the research payload, 'room 10 on the Edco-Damietta 32in trunk') that this session could not verify via a citable public source (gasco.com.eg would not return a response body on repeated attempts; web.archive.org is not fetchable with available tools; the web-search quota was exhausted before further queries could be tried) — the corridor would run inland/south before turning to the coast; or (b) the pipeline takes a genuinely winding ~34 km route from Gamasa town itself (e.g. around the Lake Manzala/lagoon fringe), which would be an unusually large detour factor for a GASCO trunk feeder. Suggest StartLocation -> 'Gamasa (Dakahlia Governorate)'. Suggest EndLocation -> 'West Damietta power plant (Kafr Saad, Damietta Governorate)'. Start coord basis: GeoNames populated-place entry for Gamasa, Dakahlia Governorate, Egypt. End coord basis: Global Energy Observatory facility record for the West Damietta CCGT power plant, corroborated by a Power Technology market-data profile."
